from_job_title,to_job_title,score,rank,track_from,track_to,cap_similarity,same_track,promotion_linked,rationale
科研人员,知识产权/专利代理,0.6389,6,技术研发,法务知产,0.9829,0,0,能力画像高度相近
科研人员,培训师,0.6367,7,技术研发,人力培训,0.9795,0,0,能力画像高度相近
科研人员,测试工程师,0.6354,8,技术研发,测试质量,0.9776,0,0,能力画像高度相近
软件测试,质量管理/测试,0.9883,1,测试质量,测试质量,0.982,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
软件测试,测试工程师,0.8987,2,测试质量,测试质量,0.998,1,0,能力画像高度相近；同职业赛道
软件测试,硬件测试,0.8968,3,测试质量,测试质量,0.995,1,0,能力画像高度相近；同职业赛道
软件测试,质检员,0.8791,4,测试质量,测试质量,0.9678,1,0,能力画像高度相近；同职业赛道
软件测试,Java,0.648,5,测试质量,技术研发,0.9969,0,0,能力画像高度相近
软件测试,前端开发,0.6473,6,测试质量,技术研发,0.9959,0,0,能力画像高度相近
软件测试,C/C++,0.6439,7,测试质量,技术研发,0.9907,0,0,能力画像高度相近
软件测试,内容审核,0.6429,8,测试质量,运营增长,0.989,0,0,能力画像高度相近
C/C++,Java,0.8981,1,技术研发,技术研发,0.9971,1,0,能力画像高度相近；同职业赛道
C/C++,前端开发,0.8954,2,技术研发,技术研发,0.9929,1,0,能力画像高度相近；同职业赛道
C/C++,科研人员,0.8917,3,技术研发,技术研发,0.9873,1,0,能力画像高度相近；同职业赛道
C/C++,风电工程师,0.8697,4,技术研发,技术研发,0.9534,1,0,能力画像高度相近；同职业赛道
C/C++,测试工程师,0.644,5,技术研发,测试质量,0.9907,0,0,能力画像高度相近
C/C++,软件测试,0.6439,6,技术研发,测试质量,0.9907,0,0,能力画像高度相近
C/C++,硬件测试,0.6381,7,技术研发,测试质量,0.9817,0,0,能力画像高度相近
C/C++,实施工程师,0.6345,8,技术研发,实施运维,0.9761,0,0,能力画像高度相近
前端开发,Java,0.8988,1,技术研发,技术研发,0.9981,1,0,能力画像高度相近；同职业赛道
前端开发,C/C++,0.8954,2,技术研发,技术研发,0.9929,1,0,能力画像高度相近；同职业赛道
前端开发,科研人员,0.8794,3,技术研发,技术研发,0.9683,1,0,能力画像高度相近；同职业赛道
前端开发,风电工程师,0.87,4,技术研发,技术研发,0.9538,1,0,能力画像高度相近；同职业赛道
前端开发,软件测试,0.6473,5,技术研发,测试质量,0.9959,0,0,能力画像高度相近
前端开发,测试工程师,0.6439,6,技术研发,测试质量,0.9906,0,0,能力画像高度相近
前端开发,硬件测试,0.6392,7,技术研发,测试质量,0.9834,0,0,能力画像高度相近
前端开发,实施工程师,0.637,8,技术研发,实施运维,0.98,0,0,能力画像高度相近
硬件测试,质量管理/测试,0.9948,1,测试质量,测试质量,0.9919,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
硬件测试,测试工程师,0.8988,2,测试质量,测试质量,0.9982,1,0,能力画像高度相近；同职业赛道
硬件测试,软件测试,0.8968,3,测试质量,测试质量,0.995,1,0,能力画像高度相近；同职业赛道
硬件测试,质检员,0.8914,4,测试质量,测试质量,0.9868,1,0,能力画像高度相近；同职业赛道
硬件测试,内容审核,0.6459,5,测试质量,运营增长,0.9937,0,0,能力画像高度相近
硬件测试,档案管理,0.6441,6,测试质量,行政档案,0.9909,0,0,能力画像高度相近
硬件测试,资料管理,0.644,7,测试质量,行政档案,0.9907,0,0,能力画像高度相近
硬件测试,风电工程师,0.644,8,测试质量,技术研发,0.9908,0,0,能力画像高度相近
BD经理,大客户代表,0.8993,1,市场销售,市场销售,0.9989,1,0,能力画像高度相近；同职业赛道
BD经理,商务专员,0.8992,2,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
BD经理,广告销售,0.8991,3,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
BD经理,销售工程师,0.8982,4,市场销售,市场销售,0.9972,1,0,能力画像高度相近；同职业赛道
BD经理,网络销售,0.8975,5,市场销售,市场销售,0.9962,1,0,能力画像高度相近；同职业赛道
BD经理,销售助理,0.8961,6,市场销售,市场销售,0.9939,1,0,能力画像高度相近；同职业赛道
BD经理,电话销售,0.896,7,市场销售,市场销售,0.9938,1,0,能力画像高度相近；同职业赛道
BD经理,销售运营,0.8949,8,市场销售,市场销售,0.9921,1,0,能力画像高度相近；同职业赛道
储备干部,管培生/储备干部,0.8975,1,人力培训,人力培训,0.9961,1,0,能力画像高度相近；同职业赛道
储备干部,猎头顾问,0.8955,2,人力培训,人力培训,0.993,1,0,能力画像高度相近；同职业赛道
储备干部,招聘专员/助理,0.8953,3,人力培训,人力培训,0.9928,1,0,能力画像高度相近；同职业赛道
储备干部,培训师,0.8909,4,人力培训,人力培训,0.9859,1,0,能力画像高度相近；同职业赛道
储备干部,储备经理人,0.7499,5,人力培训,,0.9998,0,1,能力画像高度相近；晋升终点岗位互相关联
储备干部,总助/CEO助理/董事长助理,0.6478,6,人力培训,,0.9966,0,0,能力画像高度相近
储备干部,咨询顾问,0.6459,7,人力培训,产品项目,0.9937,0,0,能力画像高度相近
储备干部,销售运营,0.6456,8,人力培训,市场销售,0.9932,0,0,能力画像高度相近
储备经理人,储备干部,0.7499,1,,人力培训,0.9998,0,1,能力画像高度相近；晋升终点岗位互相关联
储备经理人,管培生/储备干部,0.7478,2,,人力培训,0.9966,0,1,能力画像高度相近；晋升终点岗位互相关联
储备经理人,总助/CEO助理/董事长助理,0.648,3,,,0.9969,0,0,能力画像高度相近
储备经理人,项目专员/助理,0.6466,4,,产品项目,0.9947,0,0,能力画像高度相近
储备经理人,英语翻译,0.6462,5,,语言翻译,0.9941,0,0,能力画像高度相近
储备经理人,运营助理/专员,0.6461,6,,运营增长,0.994,0,0,能力画像高度相近
储备经理人,销售运营,0.6459,7,,市场销售,0.9936,0,0,能力画像高度相近
储备经理人,咨询顾问,0.6458,8,,产品项目,0.9935,0,0,能力画像高度相近
内容审核,游戏运营,0.8903,1,运营增长,运营增长,0.985,1,0,能力画像高度相近；同职业赛道
内容审核,运营助理/专员,0.8903,2,运营增长,运营增长,0.9851,1,0,能力画像高度相近；同职业赛道
内容审核,社区运营,0.8744,3,运营增长,运营增长,0.9606,1,0,能力画像高度相近；同职业赛道
内容审核,游戏推广,0.8691,4,运营增长,运营增长,0.9525,1,0,能力画像高度相近；同职业赛道
内容审核,APP推广,0.8637,5,运营增长,运营增长,0.9441,1,0,能力画像高度相近；同职业赛道
内容审核,资料管理,0.6488,6,运营增长,行政档案,0.9981,0,0,能力画像高度相近
内容审核,档案管理,0.6487,7,运营增长,行政档案,0.998,0,0,能力画像高度相近
内容审核,统计员,0.6468,8,运营增长,数据分析,0.9951,0,0,能力画像高度相近
售后客服,电话客服,0.899,1,客服支持,客服支持,0.9985,1,0,能力画像高度相近；同职业赛道
售后客服,网络客服,0.897,2,客服支持,客服支持,0.9954,1,0,能力画像高度相近；同职业赛道
售后客服,销售助理,0.6485,3,客服支持,市场销售,0.9977,0,0,能力画像高度相近
售后客服,招聘专员/助理,0.6479,4,客服支持,人力培训,0.9967,0,0,能力画像高度相近
售后客服,广告销售,0.6478,5,客服支持,市场销售,0.9966,0,0,能力画像高度相近
售后客服,商务专员,0.6471,6,客服支持,市场销售,0.9955,0,0,能力画像高度相近
售后客服,日语翻译,0.6468,7,客服支持,语言翻译,0.995,0,0,能力画像高度相近
售后客服,社区运营,0.6464,8,客服支持,运营增长,0.9945,0,0,能力画像高度相近
商务专员,广告销售,0.8997,1,市场销售,市场销售,0.9996,1,0,能力画像高度相近；同职业赛道
商务专员,BD经理,0.8992,2,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
商务专员,大客户代表,0.8991,3,市场销售,市场销售,0.9986,1,0,能力画像高度相近；同职业赛道
商务专员,销售工程师,0.8984,4,市场销售,市场销售,0.9975,1,0,能力画像高度相近；同职业赛道
商务专员,销售助理,0.8981,5,市场销售,市场销售,0.997,1,0,能力画像高度相近；同职业赛道
商务专员,网络销售,0.8966,6,市场销售,市场销售,0.9948,1,0,能力画像高度相近；同职业赛道
商务专员,电话销售,0.8959,7,市场销售,市场销售,0.9937,1,0,能力画像高度相近；同职业赛道
商务专员,销售运营,0.8957,8,市场销售,市场销售,0.9934,1,0,能力画像高度相近；同职业赛道
大客户代表,销售助理,0.9948,1,市场销售,市场销售,0.992,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
大客户代表,BD经理,0.8993,2,市场销售,市场销售,0.9989,1,0,能力画像高度相近；同职业赛道
大客户代表,商务专员,0.8991,3,市场销售,市场销售,0.9986,1,0,能力画像高度相近；同职业赛道
大客户代表,广告销售,0.8991,4,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
大客户代表,销售工程师,0.8983,5,市场销售,市场销售,0.9974,1,0,能力画像高度相近；同职业赛道
大客户代表,电话销售,0.8969,6,市场销售,市场销售,0.9952,1,0,能力画像高度相近；同职业赛道
大客户代表,网络销售,0.8953,7,市场销售,市场销售,0.9928,1,0,能力画像高度相近；同职业赛道
大客户代表,销售运营,0.8923,8,市场销售,市场销售,0.9882,1,0,能力画像高度相近；同职业赛道
广告销售,商务专员,0.8997,1,市场销售,市场销售,0.9996,1,0,能力画像高度相近；同职业赛道
广告销售,BD经理,0.8991,2,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
广告销售,大客户代表,0.8991,3,市场销售,市场销售,0.9987,1,0,能力画像高度相近；同职业赛道
广告销售,销售助理,0.898,4,市场销售,市场销售,0.9969,1,0,能力画像高度相近；同职业赛道
广告销售,电话销售,0.8975,5,市场销售,市场销售,0.9962,1,0,能力画像高度相近；同职业赛道
广告销售,销售工程师,0.8972,6,市场销售,市场销售,0.9957,1,0,能力画像高度相近；同职业赛道
广告销售,网络销售,0.8971,7,市场销售,市场销售,0.9955,1,0,能力画像高度相近；同职业赛道
广告销售,销售运营,0.8951,8,市场销售,市场销售,0.9924,1,0,能力画像高度相近；同职业赛道
律师,律师助理,0.996,1,法务知产,法务知产,0.9938,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
律师,法务专员/助理,0.8984,2,法务知产,法务知产,0.9975,1,0,能力画像高度相近；同职业赛道
律师,知识产权/专利代理,0.8965,3,法务知产,法务知产,0.9947,1,0,能力画像高度相近；同职业赛道
律师,培训师,0.6459,4,法务知产,人力培训,0.9938,0,0,能力画像高度相近
律师,英语翻译,0.644,5,法务知产,语言翻译,0.9908,0,0,能力画像高度相近
律师,项目经理/主管,0.6429,6,法务知产,产品项目,0.989,0,0,能力画像高度相近
律师,咨询顾问,0.6422,7,法务知产,产品项目,0.988,0,0,能力画像高度相近
律师,技术支持工程师,0.6403,8,法务知产,实施运维,0.9851,0,0,能力画像高度相近
律师助理,律师,0.996,1,法务知产,法务知产,0.9938,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
律师助理,法务专员/助理,0.8979,2,法务知产,法务知产,0.9967,1,0,能力画像高度相近；同职业赛道
律师助理,知识产权/专利代理,0.8951,3,法务知产,法务知产,0.9925,1,0,能力画像高度相近；同职业赛道
律师助理,培训师,0.646,4,法务知产,人力培训,0.9938,0,0,能力画像高度相近
律师助理,英语翻译,0.6406,5,法务知产,语言翻译,0.9856,0,0,能力画像高度相近
律师助理,管培生/储备干部,0.6395,6,法务知产,人力培训,0.9838,0,0,能力画像高度相近
律师助理,质量管理/测试,0.6392,7,法务知产,测试质量,0.9834,0,0,能力画像高度相近
律师助理,技术支持工程师,0.6387,8,法务知产,实施运维,0.9826,0,0,能力画像高度相近
总助/CEO助理/董事长助理,储备经理人,0.648,1,,,0.9969,0,0,能力画像高度相近
总助/CEO助理/董事长助理,储备干部,0.6478,2,,人力培训,0.9966,0,0,能力画像高度相近
总助/CEO助理/董事长助理,社区运营,0.6475,3,,运营增长,0.9961,0,0,能力画像高度相近
总助/CEO助理/董事长助理,招聘专员/助理,0.6474,4,,人力培训,0.996,0,0,能力画像高度相近
总助/CEO助理/董事长助理,销售运营,0.6473,5,,市场销售,0.9958,0,0,能力画像高度相近
总助/CEO助理/董事长助理,猎头顾问,0.6468,6,,人力培训,0.9951,0,0,能力画像高度相近
总助/CEO助理/董事长助理,日语翻译,0.6467,7,,语言翻译,0.9949,0,0,能力画像高度相近
总助/CEO助理/董事长助理,英语翻译,0.6467,8,,语言翻译,0.995,0,0,能力画像高度相近
招聘专员/助理,猎头顾问,0.8955,1,人力培训,人力培训,0.9931,1,0,能力画像高度相近；同职业赛道
招聘专员/助理,储备干部,0.8953,2,人力培训,人力培训,0.9928,1,0,能力画像高度相近；同职业赛道
招聘专员/助理,管培生/储备干部,0.8896,3,人力培训,人力培训,0.984,1,0,能力画像高度相近；同职业赛道
招聘专员/助理,培训师,0.8848,4,人力培训,人力培训,0.9767,1,0,能力画像高度相近；同职业赛道
招聘专员/助理,销售助理,0.6495,5,人力培训,市场销售,0.9993,0,0,能力画像高度相近
招聘专员/助理,销售运营,0.6491,6,人力培训,市场销售,0.9986,0,0,能力画像高度相近
招聘专员/助理,游戏运营,0.6484,7,人力培训,运营增长,0.9975,0,0,能力画像高度相近
招聘专员/助理,网络客服,0.6481,8,人力培训,客服支持,0.9971,0,0,能力画像高度相近
游戏运营,运营助理/专员,0.8995,1,运营增长,运营增长,0.9992,1,0,能力画像高度相近；同职业赛道
游戏运营,社区运营,0.895,2,运营增长,运营增长,0.9923,1,0,能力画像高度相近；同职业赛道
游戏运营,游戏推广,0.8909,3,运营增长,运营增长,0.986,1,0,能力画像高度相近；同职业赛道
游戏运营,内容审核,0.8903,4,运营增长,运营增长,0.985,1,0,能力画像高度相近；同职业赛道
游戏运营,APP推广,0.8878,5,运营增长,运营增长,0.9813,1,0,能力画像高度相近；同职业赛道
游戏运营,销售运营,0.6496,6,运营增长,市场销售,0.9993,0,0,能力画像高度相近
游戏运营,招聘专员/助理,0.6484,7,运营增长,人力培训,0.9975,0,0,能力画像高度相近
游戏运营,项目招投标,0.6471,8,运营增长,产品项目,0.9956,0,0,能力画像高度相近
猎头顾问,储备干部,0.8955,1,人力培训,人力培训,0.993,1,0,能力画像高度相近；同职业赛道
猎头顾问,招聘专员/助理,0.8955,2,人力培训,人力培训,0.9931,1,0,能力画像高度相近；同职业赛道
猎头顾问,管培生/储备干部,0.8893,3,人力培训,人力培训,0.9836,1,0,能力画像高度相近；同职业赛道
猎头顾问,培训师,0.8864,4,人力培训,人力培训,0.9791,1,0,能力画像高度相近；同职业赛道
猎头顾问,销售工程师,0.6496,5,人力培训,市场销售,0.9994,0,0,能力画像高度相近
猎头顾问,社区运营,0.6494,6,人力培训,运营增长,0.9992,0,0,能力画像高度相近
猎头顾问,咨询顾问,0.6489,7,人力培训,产品项目,0.9983,0,0,能力画像高度相近
猎头顾问,商务专员,0.6488,8,人力培训,市场销售,0.9982,0,0,能力画像高度相近
电话销售,广告销售,0.8975,1,市场销售,市场销售,0.9962,1,0,能力画像高度相近；同职业赛道
电话销售,大客户代表,0.8969,2,市场销售,市场销售,0.9952,1,0,能力画像高度相近；同职业赛道
电话销售,BD经理,0.896,3,市场销售,市场销售,0.9938,1,0,能力画像高度相近；同职业赛道
电话销售,商务专员,0.8959,4,市场销售,市场销售,0.9937,1,0,能力画像高度相近；同职业赛道
电话销售,网络销售,0.8956,5,市场销售,市场销售,0.9932,1,0,能力画像高度相近；同职业赛道
电话销售,销售助理,0.8931,6,市场销售,市场销售,0.9894,1,0,能力画像高度相近；同职业赛道
电话销售,销售工程师,0.8919,7,市场销售,市场销售,0.9875,1,0,能力画像高度相近；同职业赛道
电话销售,销售运营,0.8874,8,市场销售,市场销售,0.9807,1,0,能力画像高度相近；同职业赛道
社区运营,游戏运营,0.895,1,运营增长,运营增长,0.9923,1,0,能力画像高度相近；同职业赛道
社区运营,APP推广,0.8941,2,运营增长,运营增长,0.9909,1,0,能力画像高度相近；同职业赛道
社区运营,运营助理/专员,0.8937,3,运营增长,运营增长,0.9903,1,0,能力画像高度相近；同职业赛道
社区运营,游戏推广,0.893,4,运营增长,运营增长,0.9892,1,0,能力画像高度相近；同职业赛道
社区运营,内容审核,0.8744,5,运营增长,运营增长,0.9606,1,0,能力画像高度相近；同职业赛道
社区运营,商务专员,0.6496,6,运营增长,市场销售,0.9994,0,0,能力画像高度相近
社区运营,猎头顾问,0.6494,7,运营增长,人力培训,0.9992,0,0,能力画像高度相近
社区运营,BD经理,0.6492,8,运营增长,市场销售,0.9988,0,0,能力画像高度相近
管培生/储备干部,储备干部,0.8975,1,人力培训,人力培训,0.9961,1,0,能力画像高度相近；同职业赛道
管培生/储备干部,培训师,0.8946,2,人力培训,人力培训,0.9917,1,0,能力画像高度相近；同职业赛道
管培生/储备干部,招聘专员/助理,0.8896,3,人力培训,人力培训,0.984,1,0,能力画像高度相近；同职业赛道
管培生/储备干部,猎头顾问,0.8893,4,人力培训,人力培训,0.9836,1,0,能力画像高度相近；同职业赛道
管培生/储备干部,储备经理人,0.7478,5,人力培训,,0.9966,0,1,能力画像高度相近；晋升终点岗位互相关联
管培生/储备干部,产品专员/助理,0.646,6,人力培训,产品项目,0.9939,0,0,能力画像高度相近
管培生/储备干部,项目专员/助理,0.646,7,人力培训,产品项目,0.9938,0,0,能力画像高度相近
管培生/储备干部,运营助理/专员,0.6442,8,人力培训,运营增长,0.9911,0,0,能力画像高度相近
统计员,资料管理,0.6484,1,数据分析,行政档案,0.9975,0,0,能力画像高度相近
统计员,档案管理,0.647,2,数据分析,行政档案,0.9954,0,0,能力画像高度相近
统计员,内容审核,0.6468,3,数据分析,运营增长,0.9951,0,0,能力画像高度相近
统计员,实施工程师,0.6463,4,数据分析,实施运维,0.9943,0,0,能力画像高度相近
统计员,项目专员/助理,0.6461,5,数据分析,产品项目,0.9939,0,0,能力画像高度相近
统计员,运营助理/专员,0.6459,6,数据分析,运营增长,0.9937,0,0,能力画像高度相近
统计员,游戏运营,0.6458,7,数据分析,运营增长,0.9935,0,0,能力画像高度相近
统计员,项目招投标,0.6454,8,数据分析,产品项目,0.9929,0,0,能力画像高度相近
网络客服,售后客服,0.897,1,客服支持,客服支持,0.9954,1,0,能力画像高度相近；同职业赛道
网络客服,电话客服,0.8955,2,客服支持,客服支持,0.9931,1,0,能力画像高度相近；同职业赛道
网络客服,销售助理,0.6482,3,客服支持,市场销售,0.9972,0,0,能力画像高度相近
网络客服,招聘专员/助理,0.6481,4,客服支持,人力培训,0.9971,0,0,能力画像高度相近
网络客服,游戏运营,0.6468,5,客服支持,运营增长,0.995,0,0,能力画像高度相近
网络客服,销售运营,0.6467,6,客服支持,市场销售,0.9949,0,0,能力画像高度相近
网络客服,网络销售,0.6461,7,客服支持,市场销售,0.994,0,0,能力画像高度相近
网络客服,游戏推广,0.6454,8,客服支持,运营增长,0.993,0,0,能力画像高度相近
网络销售,BD经理,0.8975,1,市场销售,市场销售,0.9962,1,0,能力画像高度相近；同职业赛道
网络销售,广告销售,0.8971,2,市场销售,市场销售,0.9955,1,0,能力画像高度相近；同职业赛道
网络销售,商务专员,0.8966,3,市场销售,市场销售,0.9948,1,0,能力画像高度相近；同职业赛道
网络销售,销售助理,0.896,4,市场销售,市场销售,0.9938,1,0,能力画像高度相近；同职业赛道
网络销售,电话销售,0.8956,5,市场销售,市场销售,0.9932,1,0,能力画像高度相近；同职业赛道
网络销售,大客户代表,0.8953,6,市场销售,市场销售,0.9928,1,0,能力画像高度相近；同职业赛道
网络销售,销售运营,0.8943,7,市场销售,市场销售,0.9913,1,0,能力画像高度相近；同职业赛道
网络销售,销售工程师,0.8934,8,市场销售,市场销售,0.9898,1,0,能力画像高度相近；同职业赛道
质检员,质量管理/测试,0.893,1,测试质量,测试质量,0.9892,1,0,能力画像高度相近；同职业赛道
质检员,硬件测试,0.8914,2,测试质量,测试质量,0.9868,1,0,能力画像高度相近；同职业赛道
质检员,测试工程师,0.8847,3,测试质量,测试质量,0.9765,1,0,能力画像高度相近；同职业赛道
质检员,软件测试,0.8791,4,测试质量,测试质量,0.9678,1,0,能力画像高度相近；同职业赛道
质检员,风电工程师,0.6483,5,测试质量,技术研发,0.9974,0,0,能力画像高度相近
质检员,档案管理,0.6438,6,测试质量,行政档案,0.9904,0,0,能力画像高度相近
质检员,资料管理,0.6424,7,测试质量,行政档案,0.9883,0,0,能力画像高度相近
质检员,内容审核,0.6419,8,测试质量,运营增长,0.9876,0,0,能力画像高度相近
运营助理/专员,游戏运营,0.8995,1,运营增长,运营增长,0.9992,1,0,能力画像高度相近；同职业赛道
运营助理/专员,社区运营,0.8937,2,运营增长,运营增长,0.9903,1,0,能力画像高度相近；同职业赛道
运营助理/专员,内容审核,0.8903,3,运营增长,运营增长,0.9851,1,0,能力画像高度相近；同职业赛道
运营助理/专员,游戏推广,0.8876,4,运营增长,运营增长,0.981,1,0,能力画像高度相近；同职业赛道
运营助理/专员,APP推广,0.8837,5,运营增长,运营增长,0.975,1,0,能力画像高度相近；同职业赛道
运营助理/专员,销售运营,0.6492,6,运营增长,市场销售,0.9988,0,0,能力画像高度相近
运营助理/专员,项目专员/助理,0.6483,7,运营增长,产品项目,0.9973,0,0,能力画像高度相近
运营助理/专员,招聘专员/助理,0.6476,8,运营增长,人力培训,0.9962,0,0,能力画像高度相近
销售助理,大客户代表,0.9948,1,市场销售,市场销售,0.992,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
销售助理,商务专员,0.8981,2,市场销售,市场销售,0.997,1,0,能力画像高度相近；同职业赛道
销售助理,广告销售,0.898,3,市场销售,市场销售,0.9969,1,0,能力画像高度相近；同职业赛道
销售助理,销售运营,0.8978,4,市场销售,市场销售,0.9966,1,0,能力画像高度相近；同职业赛道
销售助理,BD经理,0.8961,5,市场销售,市场销售,0.9939,1,0,能力画像高度相近；同职业赛道
销售助理,网络销售,0.896,6,市场销售,市场销售,0.9938,1,0,能力画像高度相近；同职业赛道
销售助理,销售工程师,0.8943,7,市场销售,市场销售,0.9913,1,0,能力画像高度相近；同职业赛道
销售助理,电话销售,0.8931,8,市场销售,市场销售,0.9894,1,0,能力画像高度相近；同职业赛道
销售工程师,商务专员,0.8984,1,市场销售,市场销售,0.9975,1,0,能力画像高度相近；同职业赛道
销售工程师,大客户代表,0.8983,2,市场销售,市场销售,0.9974,1,0,能力画像高度相近；同职业赛道
销售工程师,BD经理,0.8982,3,市场销售,市场销售,0.9972,1,0,能力画像高度相近；同职业赛道
销售工程师,广告销售,0.8972,4,市场销售,市场销售,0.9957,1,0,能力画像高度相近；同职业赛道
销售工程师,销售助理,0.8943,5,市场销售,市场销售,0.9913,1,0,能力画像高度相近；同职业赛道
销售工程师,销售运营,0.8935,6,市场销售,市场销售,0.99,1,0,能力画像高度相近；同职业赛道
销售工程师,网络销售,0.8934,7,市场销售,市场销售,0.9898,1,0,能力画像高度相近；同职业赛道
销售工程师,电话销售,0.8919,8,市场销售,市场销售,0.9875,1,0,能力画像高度相近；同职业赛道
销售运营,销售助理,0.8978,1,市场销售,市场销售,0.9966,1,0,能力画像高度相近；同职业赛道
销售运营,商务专员,0.8957,2,市场销售,市场销售,0.9934,1,0,能力画像高度相近；同职业赛道
销售运营,广告销售,0.8951,3,市场销售,市场销售,0.9924,1,0,能力画像高度相近；同职业赛道
销售运营,BD经理,0.8949,4,市场销售,市场销售,0.9921,1,0,能力画像高度相近；同职业赛道
销售运营,网络销售,0.8943,5,市场销售,市场销售,0.9913,1,0,能力画像高度相近；同职业赛道
销售运营,销售工程师,0.8935,6,市场销售,市场销售,0.99,1,0,能力画像高度相近；同职业赛道
销售运营,大客户代表,0.8923,7,市场销售,市场销售,0.9882,1,0,能力画像高度相近；同职业赛道
销售运营,电话销售,0.8874,8,市场销售,市场销售,0.9807,1,0,能力画像高度相近；同职业赛道
项目专员/助理,项目经理/主管,0.9972,1,产品项目,产品项目,0.9956,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
